#source http://tongwen.openfoundry.org/src/tongwen_table/phrase_s2t.txt
018941,014FDD	018941,018913
018964,017E37	018964,018938
01897F,0188DD,017562,01633A	01897F,0188DD,017B46,01633A
01898F,015212	01898F,015283
01898F,016A21	01898F,016A21
0189F4,015B50	016BA4,015B50
018A55,0164CA	0162A8,0164CA
018A87,017236	015938,017236
018A87,01723E	015938,01723E
018A87,017279	015938,017279
018A87,01812B	015938,01812B
018AA0,016734	018AA0,016A38
018AA3,018511	018AA3,01884A
018AF8,015019	018AF8,014FAF
018B41,015566	015629,015566
018B41,015587	015629,015587
018B41,017684,014E00,018072	015629,017684,014E00,018072
018B41,018B41	015629,015629
018B66,015254	018B66,0160D5
018B96,016094	0161FA,016094
018C41,0158D1	018C3F,0158D1
018C46,01853B	018373,01853B
018C46,019F13	018C46,018C49
018C9D,0180C4	018C9D,015191
018CEA,016734	018CEA,016A38
018D64,01574E	018D64,015D01
018DA8,014E4B,0182E5,0152D9	018DA8,014E4B,0182E5,019DA9
018DD6,019AA8	018E60,019AA8
018DDF,018E4C	018E09,018E4C
018E10,019053	0168E7,019053
018E22,018E0F,01821E	018E22,018E82,01821E
018E49,019640	018E49,018DCE
018E63,019807	019862,019807
018EAB,015206	018EAB,014EFD
018EAC,01656C	01606D,01656C
018ED4,016027	0197CC,016027
018EEB,0157DF	01755B,0157DF
018F15,016311	018F15,014F7B
018F15,017BFE	018F15,018511
018F49,015BF0	018F49,01571C
018F49,01623E,019EDE	018F49,016369,019EDE
018FB2,017372	018FB2,017A6B
018FE5,015ECA	018FF4,015ECA
018FE5,01907F	018FF4,01907F
018FF7,017F54	018FF7,0160D8
018FFB,019090	018FC6,019090
018FFD,016714	018FFD,016EAF
018FFD,016839,017A76,0162B5	018FFD,016839,017A76,0167E2
018FFD,018B1A	018FFD,018AE1
01901A,016D5A	01901A,016FEC
01901A,018ADC	01901A,017252
01901A,018F2F	01901A,017DDD
019023,016289	019023,018882
019023,017D61	01806F,017D61
01903E,015E74	018E30,015E74
01903E,0177E9	018E30,0177E9
01903E,018D8A	018E30,018D8A
01903E,019592	018E30,019592
01904B,017C4C,0160DF,015E44	01904B,017C4C,015E37,015E44
019050,0175B5	017455,0175B5
019053,01574E	019053,016ABB
019060,0163DA	019060,0198BA
01907A,0164BC	01907A,0161BE
019082,016020	0161C8,016020
01908B,01584C	01908B,019062
01908B,018E4B	01908B,019062
0190CE,01943A	015577,01943A
0190ED,016734	0190ED,01749E
019109,019858	019109,01613F
019109,019858,01610F	019109,019858,01610F
019152,0180B4	019152,01991A
01916C,0150AD	01916C,014F63
019178,0175BC	0175E0,0175BC
019178,0175DB	0175E0,0175DB
019178,018EDF	0175E0,018EDF
019183,0181E2	01814C,0181E2
019187,016734	019187,016A38
0191AE,0158A8	018638,0158A8
0191CD,017C37	0191CD,016A90
0191D1,014F96	0191D1,015D19
0191D1,016A58	0191D1,016854
0191D8,0169CC	0191D8,01939A
0191DD,017099	0191DD,017078
0191DD,019EF9	01937C,019EF9
0191F5,0174B0	0191F5,019436
019257,0153E3	017B9D,0153E3
01925B,01939A	01925B,019318
019278,017149	019278,01934A
01929C,01571F	015563,01571F
01929C,016CE5	015563,016CE5
01929C,0174B0	015563,0174B0
01929C,018349	015563,018349
0192B7,016EB6	0192B7,019394
0192EA,014F4D	018216,014F4D
019319,018863	017DC7,018863
019326,0193E2	019326,016A19
01932B,015764	01932B,015803
01935B,017149	01935B,01934A
01935B,017FBD	0193A9,017FBD
01935B,0193C8	01935B,01934A
01937E,015C71	01937E,015C71
019396,017149	019396,01934A
019396,01788E	017463,01788E
01939A,017149	019318,017149
0193A7,0180C4	0193A7,015191
0193DF,015208	015277,015208
0193DF,0153BB	015277,0153BB
0193DF,015E73	015277,015E73
0193DF,016EC5	015277,016EC5
0193DF,018D77	015277,018D77
0193DF,019664	015277,019664
019435,0169CC	019435,01939A
019435,017149	019435,01934A
019435,017DF4	019435,01934A
019472,015D01	019472,015D4C
019580,01574E	019580,016ABB
019583,019460	019583,01720D
01958B,016D5A	01958B,016FEC
01958B,0192EA	01958B,018216
019592,019050	019592,016687
019592,01975C	019591,01975C
0195D4,015BB6	0195A4,015BB6
0195D4,015E9C	0195A4,015E9C
0195D4,015E9C,014E0A,014E0B	0195A4,015E9C,014E0A,014E0B
019632,015FA1	019632,0179A6
019632,017919	0159A8,017919
01963F,018174	01963F,018ADB
019640,01624B	018235,01624B
019677,014E95	019677,019631
0196C4,018D73,018D73	0196C4,017CFE,017CFE
019752,0168F5	019752,017A1E
019752,017B1E	019752,0182D4
019766,015178	019766,018146
0197C3,014F10	0164BB,014F10
0197CB,015E2D	0197CB,0184C6
019802,019802,015927,01540D	019F0E,019F0E,015927,01540D
019805,017149	019805,01934A
019839,01572F	019839,01572E
019867,016064	019867,015379
0198A8,0159FF,015353,017D04	0198A8,0159FF,017DBD,017D04
0198EF,015718	0198EF,017CF0
01994B,018D08	01993D,018D08
019A5A,0187AB	019A5A,0187C4
019ABC,01818A	0180F3,01818A
019AD2,015668	0181DF,015668
019AD2,018151	0181DF,018151
019B41,01609F	019B41,0168A7
019BAE,014E8E	019BAE,014E8E
019E15,016148	019E15,019DBF
019EBB,0175C5	0175F2,0175C5
019EBB,01760B	0175F2,01760B
019EBC,015152	014E48,015152
019EBC,015973	014E48,015973
019EBC,015B50	014E48,015B50
019F67,019F52	0156D3,019F52
01FF01,016069	01FF01,0155EF
015EF6,019577	015EF6,019577
01912D,0151F1,014E91	01912D,0151F1,014E91
0190E8,01843D	0190E8,01843D
016751,01843D	016751,01843D
0189D2,01843D	0189D2,01843D
01751F,019577	01751F,019577
016210,019577	016210,019577
015C0D,0183EF	015C0D,0183EF
015FAE,018EDF	015FAE,018EDF
018B80,015BEB,01982D	018B80,015BEB,01982D
018B80,0153D6,01982D	018B80,0153D6,01982D
016C34,019053	016C34,019053
016709,0195DC	016709,0195DC
0176F8,0195DC	0176F8,0195DC
014E8B,0195DC	014E8B,0195DC
015B89,015168	015B89,015168
016062,018907	016062,015FA9
01592A,0176E3	01592A,0176E3
01592A,01592A	01592A,01592A
0182F1,014E5D	0182F1,014E5D
019EBC,015F1F	014E48,015F1F
019EBC,0159B9	014E48,0159B9
014ED9,015F8C	014ED9,01540E
015442,015F8C	015442,01540E
015929,015F8C	015929,01540E
01592A,015F8C	01592A,01540E
015C01,015F8C	015C01,01540E
015E1D,015F8C	015E1D,01540E
015EE2,015F8C	015EE2,01540E
015F71,015F8C	015F71,01540E
015F80,015F8C	015F80,015F8C
015F8C,0151A0	01540E,0151A0
015F8C,01571F	01540E,01571F
015F8C,015983	01540E,015983
015F8C,017A37	01540E,017A37
015F8C,017FBF	01540E,017FBF
0162C6,015C01,015F8C	0162C6,015C01,015F8C
016BCD,015F8C	016BCD,01540E
01738B,015F8C	01738B,01540E
017687,015F8C	017687,01540E
01821E,015F8C	01821E,01540E
01897F,015F8C	01897F,01540E
018C54,015F8C	018C54,01540E
0197CB,015F8C	0197CB,01540E
014E00,01934B,019762	014E00,01934B,019EB5
014E00,019762	014E00,019762
014E03,019762	014E03,019762
