015927,01937E,0160C5	015927,01937E,0160C5
015927,01937E,01610F	015927,01937E,01610F
015927,01937E,01611B	015927,01937E,01611B
015927,018D0A	015927,018B9A
015927,018D0A,01540C	015927,018D0A,01540C
015927,018D0A,016210	015927,018D0A,016210
015927,018D0A,0152A9	015927,018D0A,0152A9
015973,0150D5	015973,0150D5
015B50,0159DC	015B50,018591
015B51,015B51	015B51,015B53
015B53,017136	015B51,017136
015BF8,014F59	015BF8,019918
015C0F,014E11	015C0F,014E11
015C0F,014E11,01516B,01602A	015C0F,01919C,01516B,01602A
015C0F,014E11,014E2B,01982D	015C0F,01919C,014E2B,01982D
015C0F,014E11,014E2B,019B1F	015C0F,01919C,014E2B,019B1F
015C0F,014F19,014EBA	015C0F,015925,014EBA
015C0F,016368	015C0F,01820D
015C0F,015E7E	015C0F,0151E0
015C0F,015E7E,015341	015C0F,015E7E,015341
015C0F,015E7E,015343	015C0F,015E7E,015343
015C0F,015E7E,015929	015C0F,015E7E,015929
015C0F,015E7E,015C3A	015C0F,015E7E,015C3A
015C0F,015E7E,014E4E	015C0F,015E7E,014E4E
015C0F,015E7E,01591A	015C0F,015E7E,01591A
015C0F,015E7E,01767E	015C0F,015E7E,01767E
015C0F,015E7E,017C73	015C0F,015E7E,017C73
015C0F,015E7E,015398	015C0F,015E7E,015398
015C0F,015E7E,01500B	015C0F,015E7E,01500B
015C0F,015E7E,016B72	015C0F,015E7E,016B72
015C0F,015E7E,01842C	015C0F,015E7E,01842C
015C0F,0150D5	015C0F,0150D5
015C71,017F8A,0180E1	015C71,017F8A,019B0D
015C71,017F8A,019808	015C71,017F8A,019B1A
015C71,015CB3	015C71,015DBD
015C71,016DAF	015C71,015D16
015C71,0188E1,019577	015C71,0188E1,019577
015DE5,014F59	015DE5,019918
015DE5,017A0B,017CFB	015DE5,017A0B,017CFB
015DE5,017DE8,015236	015DE5,017DE8,015236
015DF2,014E86,017136	015DF2,0177AD,017136
015DF2,016597,014E86	015DF2,019B25,014E86
015DF2,016597,014E0A	015DF2,019B25,014E0A
015DF2,016597,016578	015DF2,019B25,016578
